AvgTicketPrice,Cancelled,Carrier,Dest,DestAirportID,DestCityName,DestCountry,DestLocation,DestRegion,DestWeather,DistanceKilometers,DistanceMiles,FlightDelay,FlightDelayMin,FlightDelayType,FlightNum,FlightTimeHour,FlightTimeMin,Origin,OriginAirportID,OriginCityName,OriginCountry,OriginLocation,OriginRegion,OriginWeather,"_id","_index","_score","_type",dayOfWeek,"hour_of_day",timestamp
"$891.27",false,"ES-Air","Salt Lake City International Airport",SLC,"Salt Lake City",US,"{""coordinates"":[-111.9779968,40.78839874],""type"":""Point""}","US-UT",Cloudy,"9565.795","5943.9097",false,0,"No Delay",41GI902,"7.591900791165091","455.51404","Bari Karol Wojty__a Airport",BA02,Bari,IT,"{""coordinates"":[16.760599,41.138901],""type"":""Point""}","IT-75",Sunny,b1lPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,15,"2021-05-20T15:04:06.000Z"
"$581.9",true,JetBeats,"Helsinki Vantaa Airport",HEL,Helsinki,FI,"{""coordinates"":[24.9633007,60.31719971],""type"":""Point""}","FI-ES",Cloudy,"6324.579","3929.9111",false,0,"No Delay",TTQN338,"7.027309945986033","421.6386","Beijing Capital International Airport",PEK,Beijing,CN,"{""coordinates"":[116.5849991,40.08010101],""type"":""Point""}","SE-BD","Damaging Wind",JllPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:58:37.000Z"
"$990.56",false,"Kibana Airlines","Turin Airport",TO11,Torino,IT,"{""coordinates"":[7.64963,45.200802],""type"":""Point""}","IT-21",Clear,"2955.9802","1836.761",false,0,"No Delay",Z36EG3Z,"4.478758005968273","268.7255","Olenya Air Base",XLMO,Olenegorsk,RU,"{""coordinates"":[33.46390152,68.15180206],""type"":""Point""}","RU-MUR","Heavy Fog",U1lPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:51:35.000Z"
"$817.86",false,"Kibana Airlines","Tokyo Haneda International Airport",HND,Tokyo,JP,"{""coordinates"":[139.779999,35.552299],""type"":""Point""}","SE-BD",Rain,"6742.6055","4189.661",false,0,"No Delay",B2IBH6K,"6.610397732517705","396.62387","Chhatrapati Shivaji International Airport",BOM,Mumbai,IN,"{""coordinates"":[72.86789703,19.08869934],""type"":""Point""}","SE-BD",Cloudy,x1lPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:47:44.000Z"
"$358.01",false,JetBeats,"Chicago O'Hare International Airport",ORD,Chicago,US,"{""coordinates"":[-87.90480042,41.97859955],""type"":""Point""}","US-IL",Clear,"6630.3755","4119.9243",false,0,"No Delay",FABQ6YQ,"5.525312753603188","331.51877","Amsterdam Airport Schiphol",AMS,Amsterdam,NL,"{""coordinates"":[4.76388979,52.30860138],""type"":""Point""}","NL-NH","Thunder & Lightning",vFlPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:47:01.000Z"
"$683.31",false,"ES-Air","Tulsa International Airport",TUL,Tulsa,US,"{""coordinates"":[-95.88809967,36.19839859],""type"":""Point""}","US-OK",Rain,"8436.637","5242.283",false,0,"No Delay",NQMCW3B,"7.811701114632793","468.70206","Treviso-Sant'Angelo Airport",TV01,Treviso,IT,"{""coordinates"":[12.1944,45.648399],""type"":""Point""}","IT-34",Clear,cllPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:42:58.000Z"
"$422.07",false,JetBeats,"Shanghai Pudong International Airport",PVG,Shanghai,CN,"{""coordinates"":[121.8050003,31.14340019],""type"":""Point""}","SE-BD",Sunny,"12281.502","7631.3716",false,0,"No Delay",L8SVKFO,"11.371761068510226","682.30566","Raleigh Durham International Airport",RDU,"Raleigh/Durham",US,"{""coordinates"":[-78.78749847,35.87760162],""type"":""Point""}","US-NC","Thunder & Lightning",c1lPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:42:58.000Z"
"$809.96",false,"Logstash Airways","Jorge Chavez International Airport",LIM,Lima,PE,"{""coordinates"":[-77.114304,-12.0219],""type"":""Point""}","SE-BD",Cloudy,"10618.063","6597.7583",false,0,"No Delay",YANV4SI,"14.747309762928232","884.83856","Genoa Cristoforo Colombo Airport",GE01,Genova,IT,"{""coordinates"":[8.8375,44.4133],""type"":""Point""}","IT-42",Sunny,dFlPinkBgC8vM3j0YL2M,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:42:58.000Z"
"$106.48",false,"ES-Air","Mariscal Sucre International Airport",UIO,Quito,EC,"{""coordinates"":[-78.3575,-0.129166667],""type"":""Point""}","SE-BD","Thunder & Lightning",0,0,false,0,"No Delay",3XPY8XN,0,0,"Mariscal Sucre International Airport",UIO,Quito,EC,"{""coordinates"":[-78.3575,-0.129166667],""type"":""Point""}","SE-BD",Cloudy,31lPinkBgC8vM3j0YLyM,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:35:00.000Z"
"$677.28",false,"Logstash Airways","Ministro Pistarini International Airport",EZE,"Buenos Aires",AR,"{""coordinates"":[-58.5358,-34.8222],""type"":""Point""}","SE-BD","Heavy Fog","8402.876","5221.305",false,0,"No Delay",YJQYUDM,"11.67066082359912","700.2396","Baltimore/Washington International Thurgood Marshall Airport",BWI,Baltimore,US,"{""coordinates"":[-76.66829681,39.17539978],""type"":""Point""}","US-MD",Cloudy,sFlPinkBgC8vM3j0YLyM,"kibana_sample_data_flights",,"_doc",3,14,"2021-05-20T14:32:40.000Z"
